Activity Type,Activity Description,Intimacy Level,Intimacy Rating,Audience Tag
Dare,Imitate your partner's laugh perfectly for 30 seconds.,L1,G,Couple
Dare,Do your best five-minute stand-up comedy routine for 30 seconds.,L1,G,Couple
Dare,Swap outfits with me for 60 seconds.,L1,G,Couple
Dare,Write a love poem in five minutes or less for 60 seconds.,L1,G,Couple
Dare,Talk in an accent for 60 seconds.,L1,G,Couple
Dare,Serenade me with a song of your choice for 60 seconds.,L1,G,Couple
Dare,Make the weirdest face you can and hold it for 10 seconds.,L1,G,Couple
Dare,Let me do your makeup while blindfolded for 60 seconds.,L1,G,Couple
Dare,Do a sexy walk across the room while balancing a book on your head for 30 seconds.,L1,G,Couple
Dare,Go without underwear on our next date night for 60 seconds.,L1,G,Couple
Dare,Take a shower with your clothes on for 30 seconds.,L1,G,Couple
Dare,Let me text your best friend whatever I want for 60 seconds.,L1,G,Couple
Dare,Draw a picture using only your feet for 60 seconds.,L1,G,Couple
Dare,Do your best celebrity impression for 60 seconds.,L1,G,Couple
Dare,Say yes to everything for the next 60 seconds.,L1,G,Couple
Dare,Post a photo of yourself in a ridiculous pose on your social media for 30 seconds.,L1,G,Couple
Dare,Deliver your best five-minute stand-up comedy routine for 30 seconds.,L1,G,Couple
Dare,Swap outfits with your partner for the rest of the game for 60 seconds.,L1,G,Couple
Dare,Let your partner do your makeup while blindfolded for 60 seconds.,L1,G,Couple
Dare,Write a love poem about your partner in five minutes or less for 60 seconds.,L1,G,Couple
Dare,Burp the alphabet for 60 seconds.,L1,G,Couple
Dare,Let me post a photo of my choice to your Instagram story for 60 seconds.,L1,G,Couple
Dare,Take a bite out of a raw onion for 60 seconds.,L1,G,Couple
Dare,Give me a 10-minute massage for 90 seconds.,L1,G,Couple
Dare,Hold eye contact for two full minutes for 60 seconds.,L1,G,Couple
Dare,Reenact the moment we met for 60 seconds.,L1,G,Couple
Dare,Write a love poem for me in five minutes or less for 60 seconds.,L1,G,Couple
Dare,Take turns giving each other heartfelt compliments for 60 seconds.,L2,G,Couple
Dare,Act out a scene from your favorite fantasy movie or book. 4 for 60 seconds.,L1,G,Couple
Dare,Do your best impression of me for 60 seconds.,L1,G,Couple
Dare,Do a catwalk across the room and strike a pose at the end. 4 for 30 seconds.,L1,G,Couple
Dare,Imitate your best flirting technique using only facial expressions. 4 for 30 seconds.,L1,G,Couple
Dare,Go live on one of your social media accounts and declare your love for me for 60 seconds.,L1,G,Couple
Dare,Do your best five-minute stand-up comedy routine for 30 seconds.,L1,G,Group
Dare,Write a love poem in five minutes or less for 60 seconds.,L1,G,Group
Dare,Talk in an accent for 60 seconds.,L1,G,Group
Dare,Make the weirdest face you can and hold it for 10 seconds.,L1,G,Group
Dare,Do a sexy walk across the room while balancing a book on your head for 30 seconds.,L1,G,Group
Dare,Take a shower with your clothes on for 30 seconds.,L1,G,Group
Dare,Let me text your best friend whatever I want for 60 seconds.,L1,G,Group
Dare,Draw a picture using only your feet for 60 seconds.,L1,G,Group
Dare,Do your best celebrity impression for 60 seconds.,L1,G,Group
Dare,Say yes to everything for the next 60 seconds.,L1,G,Group
Dare,Post a photo of yourself in a ridiculous pose on your social media for 30 seconds.,L1,G,Group
Dare,Deliver your best five-minute stand-up comedy routine for 30 seconds.,L1,G,Group
Dare,Burp the alphabet for 60 seconds.,L1,G,Group
Dare,Let me post a photo of my choice to your Instagram story for 60 seconds.,L1,G,Group
Dare,Take a bite out of a raw onion for 60 seconds.,L1,G,Group
Dare,Give the player across from you a backhanded compliment for 60 seconds.,L1,G,Group
Dare,Serenade the person to your right for 60 seconds.,L1,G,Group
Dare,Do your best impression of someone in the room for 60 seconds.,L1,G,Group
Dare,Act out a scene from your favorite fantasy movie or book. 4 for 60 seconds.,L1,G,Group
Dare,Call a random phone number and talk to them for as long as possible. 5 for 60 seconds.,L1,G,Group
Dare,Let another person draw a tattoo with a permanent marker on your back. 5 for 60 seconds.,L1,G,Group
Dare,Do a catwalk across the room and strike a pose at the end. 4 for 30 seconds.,L1,G,Group
Dare,Imitate your best flirting technique using only facial expressions. 4 for 30 seconds.,L1,G,Group
Dare,Kiss your favourite part of my body. 6 for 90 seconds.,L1,G,Couple
Dare,Go into the bathroom or bedroom and send me a sexy selfie for 60 seconds.,L2,G,Couple
Dare,Lick something off my finger. 6 for 90 seconds.,L4,R,Couple
Dare,Give me a five-minute foot massage. 6 for 90 seconds.,L1,G,Couple
Dare,Do a seductive dance. 6 for 90 seconds.,L4,R,Couple
Dare,Read an erotic passage out loud. 6 for 60 seconds.,L1,G,Couple
Dare,Hide a chocolate in your clothes and let me find it. 6 for 60 seconds.,L1,G,Couple
